"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: PRO LogicalModel FHIR Mapping"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.modifierExtension","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antworttyp","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antworttyp","","","",1,1,"","","","code {[]} {[]}
","Typ","Typ der gewählten Antwort","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antworttyp",1,1,"",""
"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antwortinhalt","mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antwortinhalt","","","",0,1,"","","","string {[]} {[]}
","Inhalt","Inhalt der gewählten Option","","","","","","","","","",,,,,"",,,,"mii-lm-pro.AusgefuellterFragebogen.Antwort.AntwortVorlage.Antwortinhalt",0,1,"",""
"mii-lm-pro.Score","mii-lm-pro.Score","","","",0,*,"","","","BackboneElement {[]} {[]}
","Scores (Observation)","Berechnete Scores aus Fragebögen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.id","mii-lm-pro.Score.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.extension","mii-lm-pro.Score.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.modifierExtension","mii-lm-pro.Score.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage","mii-lm-pro.Score.ScoreVorlage","","","",1,1,"","","","BackboneElement {[]} {[]}
","Score-Definition (ObservationDefinition)","Template für Score-Berechnung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ObservationDefinition"
"mii-lm-pro.Score.ScoreVorlage.id","mii-lm-pro.Score.ScoreVorlage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.extension","mii-lm-pro.Score.ScoreVorlage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.modifierExtension","mii-lm-pro.Score.ScoreVorlage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.ScoreVorlageID","mii-lm-pro.Score.ScoreVorlage.ScoreVorlageID","","","",1,1,"","","","string {[]} {[]}
","Score-ID","Eindeutige Identifikation des Score-Typs","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreVorlageID",1,1,"","","ObservationDefinition.id"
"mii-lm-pro.Score.ScoreVorlage.ScoreName","mii-lm-pro.Score.ScoreVorlage.ScoreName","","","",1,1,"","","","string {[]} {[]}
","Score-Name","Bezeichnung des Scores","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreName",1,1,"","","ObservationDefinition.code.display"
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung","","","",1,1,"","","","BackboneElement {[]} {[]}
","Berechnungsvorschrift","Algorithmus zur Score-Berechnung","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.id","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.extension","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.modifierExtension","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsID","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsID","","","",1,1,"","","","string {[]} {[]}
","Berechnungs-ID","ID des Berechnungsalgorithmus","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsID",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreDatentyp","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreDatentyp","","","",1,1,"","","","code {[]} {[]}
","Ergebnis-Datentyp","Datentyp des berechneten Scores","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreDatentyp",1,1,"","","ObservationDefinition.quantitativeDetails.type"
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsAlgorithmus","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsAlgorithmus","","","",1,1,"","","","string {[]} {[]}
","Algorithmus","FHIRPath oder CQL Expression","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreBerechnungsAlgorithmus",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreQuelle","mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreQuelle","","","",0,1,"","","","uri {[]} {[]}
","Quellenangabe","Referenz zur Algorithmus-Dokumentation","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Scoreberechnung.ScoreQuelle",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala","mii-lm-pro.Score.ScoreVorlage.Domainenskala","","","",0,*,"","","","BackboneElement {[]} {[]}
","Domain-Zuordnung","Zuordnung zu Gesundheitsdomänen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.id","mii-lm-pro.Score.ScoreVorlage.Domainenskala.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.extension","mii-lm-pro.Score.ScoreVorlage.Domainenskala.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.modifierExtension","mii-lm-pro.Score.ScoreVorlage.Domainenskala.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainID","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainID","","","",1,1,"","","","string {[]} {[]}
","Domain-ID","ID der Gesundheitsdomäne","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainID",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainCode","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainCode","","","",0,1,"","","","code {[]} {[]}
","Domain-Code","Code der Domain (z.B. SNOMED)","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainCode",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainTitel","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainTitel","","","",0,1,"","","","string {[]} {[]}
","Domain-Titel","Name der Domain","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainTitel",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainBeschreibung","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainBeschreibung","","","",0,1,"","","","string {[]} {[]}
","Beschreibung","Beschreibung der Domain","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainBeschreibung",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen","","","",0,*,"","","","BackboneElement {[]} {[]}
","Skalen-Details","Details zur Domain-Skala","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.id","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.extension","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.modifierExtension","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Minimum","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Minimum","","","",0,1,"","","","decimal {[]} {[]}
","Minimum","Minimaler Skalenwert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Minimum",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Maximum","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Maximum","","","",0,1,"","","","decimal {[]} {[]}
","Maximum","Maximaler Skalenwert","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Maximum",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Skalenwert","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Skalenwert","","","",0,1,"","","","code {[]} {[]}
","Skalentyp","Art der Skala (ordinal, interval, ratio)","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.Skalenwert",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.DomainenskalaDomainenskala","mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.DomainenskalaDomainenskala","","","",0,1,"","","","string {[]} {[]}
","Subskalierung","Verweis auf Unterskalen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.Domainenskala.DomainSkalen.DomainenskalaDomainenskala",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping","mii-lm-pro.Score.ScoreVorlage.ScoreMapping","","","",0,*,"","","","BackboneElement {[]} {[]}
","Score-Mapping","Mapping zu anderen Scoring-Systemen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.id","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.extension","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.modifierExtension","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.SourceScoreID","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.SourceScoreID","","","",1,1,"","","","string {[]} {[]}
","Quell-Score","ID des Ausgangs-Scores","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.SourceScoreID",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.TargetScoreID","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.TargetScoreID","","","",1,1,"","","","string {[]} {[]}
","Ziel-Score","ID des Ziel-Scores","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.TargetScoreID",1,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert","","","",1,*,"","","","BackboneElement {[]} {[]}
","Wert-Mapping","Konkrete Wertezuordnungen","","","","","","","","","",,,,,"",,,,"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.id","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.extension","mii-lm-pro.Score.ScoreVorlage.ScoreMapping.MappingScorewert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
